Month,Revenue,Expenses,Profit,Revenue Growth %,Expense Growth %,Profit Margin %
Jan-24,100000,70000,30000,-,-,30%
Feb-24,105000,72000,33000,5%,3%,31%
Mar-24,110000,75000,35000,5%,4%,32%
Apr-24,115000,77000,38000,5%,3%,33%
May-24,120000,80000,40000,4%,4%,33%
Jun-24,125000,82000,43000,4%,3%,34%
Jul-24,130000,85000,45000,4%,4%,35%
Aug-24,135000,87000,48000,4%,2%,36%
Sep-24,140000,90000,50000,4%,3%,36%
Oct-24,145000,92000,53000,4%,2%,37%
Nov-24,150000,95000,55000,3%,3%,37%
Dec-24,155000,97000,58000,3%,2%,37%
Jan-25,160000,100000,60000,3%,3%,38%
Feb-25,165000,102000,63000,3%,2%,38%
Mar-25,170000,105000,65000,3%,3%,38%
Apr-25,175000,107000,68000,3%,2%,39%
May-25,180000,110000,70000,3%,3%,39%
Jun-25,185000,112000,73000,3%,2%,39%
Jul-25,190000,115000,75000,3%,3%,39%
Aug-25,195000,117000,78000,3%,2%,40%
Sep-25,200000,120000,80000,3%,3%,40%
Oct-25,205000,122000,83000,3%,2%,40%
Nov-25,210000,125000,85000,2%,2%,40%
Dec-25,215000,127000,88000,2%,2%,41%
Jan-26,220000,130000,90000,2%,2%,41%
Feb-26,225000,132000,93000,2%,2%,41%
Mar-26,230000,135000,95000,2%,2%,41%
Apr-26,235000,137000,98000,2%,1%,42%
May-26,240000,140000,100000,2%,2%,42%
Jun-26,245000,142000,103000,2%,1%,42%
Jul-26,250000,145000,105000,2%,2%,42%
Aug-26,255000,147000,108000,2%,1%,42%
Sep-26,260000,150000,110000,2%,2%,42%
Oct-26,265000,152000,113000,2%,1%,43%
Nov-26,270000,155000,115000,2%,2%,43%
Dec-26,275000,157000,118000,2%,1%,43%
